indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-05-02,3756.876,3769.925,3744.547,3787.302,3763.646,8330103500,120083483290.3,6.77,0.001802
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-05-03,3763.646,3756.165,3732.371,3797.526,3793.0,9396111800,122740168864.1,29.354,0.007799
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-05-04,3793.0,3784.316,3770.938,3801.524,3774.598,7155428800,98315254609.0,-18.402,-0.004852
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-05-07,3774.598,3782.54,3776.029,3834.587,3834.187,8728619500,126354800810.6,59.589,0.015787
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-05-08,3834.187,3834.614,3833.729,3892.073,3878.676,9421515700,135445862528.5,44.489,0.011603
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-05-09,3878.676,3876.129,3855.739,3878.938,3871.615,6671296600,92322896271.1,-7.061,-0.00182
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-05-10,3871.615,3882.835,3867.308,3894.49,3893.056,7066780900,103255140584.5,21.441,0.005538
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-05-11,3893.056,3902.148,3871.952,3903.337,3872.838,7335660400,107715457040.3,-20.218,-0.005193
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-05-14,3872.838,3886.873,3886.873,3919.299,3909.293,8197599900,122520047994.7,36.455,0.009413
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-05-15,3909.293,3920.139,3892.919,3924.342,3924.097,7604955500,106091905845.1,14.804,0.003787
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-05-16,3924.097,3909.818,3889.187,3923.343,3892.844,7191364600,106533930265.4,-31.253,-0.007964
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-05-17,3892.844,3895.489,3858.852,3899.513,3864.05,5903012300,87104164680.0,-28.794,-0.007397
