date,open,high,low,close,volume,turnover,open_adj,high_adj,low_adj,close_adj,volume_adj
2015-08-18,4084.311,4103.054,3816.554,3825.412,31988107000,424924184411.0,4084.311,4103.054,3816.554,3825.412,31988107000
2015-08-19,3748.266,3898.74,3668.192,3886.136,26904983900,340923470856.0,3748.266,3898.74,3668.192,3886.136,26904983900
2015-08-20,3848.403,3880.824,3761.454,3761.454,21216796500,270576698834.0,3848.403,3880.824,3761.454,3761.454,21216796500
2015-08-21,3714.289,3757.7790000000014,3578.175,3589.536,21798640300,267498426435.0,3714.289,3757.7790000000014,3578.175,3589.536,21798640300
2015-08-24,3454.598,3468.1490000000013,3266.55,3275.534,25543665200,273124228208.0,3454.598,3468.1490000000013,3266.55,3275.534,25543665200
2015-08-25,3070.007,3200.108,3019.556,3042.927,27608130600,281160333742.0,3070.007,3200.108,3019.556,3042.927,27608130600
2015-08-26,3062.566,3192.932,2952.008,3025.692,30827062300,312188248685.0,3062.566,3192.932,2952.008,3025.692,30827062300
2015-08-27,3092.812,3206.724,3028.398,3205.638,26729493000,278769983405.0,3092.812,3206.724,3028.398,3205.638,26729493000
2015-08-28,3246.236,3353.244,3223.622000000001,3342.286,29949842600,318763482694.0,3246.236,3353.244,3223.622000000001,3342.286,29949842600
2015-08-31,3307.396,3368.2790000000005,3205.537000000001,3366.536,28025040300,306610891136.0,3307.396,3368.2790000000005,3205.537000000001,3366.536,28025040300
2015-09-01,3296.5290000000005,3370.5040000000013,3190.578,3362.083,35245852800,351387828324.0,3296.5290000000005,3370.5040000000013,3190.578,3362.083,35245852800
2015-09-02,3220.851,3387.02,3213.637,3365.8320000000012,34778941200,348986389305.0,3220.851,3387.02,3213.637,3365.8320000000012,34778941200
2015-09-07,3347.293,3422.225,3240.243,3250.485,20422443100,221756790269.0,3347.293,3422.225,3240.243,3250.485,20422443100
2015-09-08,3221.789,3340.219,3170.807,3334.023,15459963100,168294750030.0,3221.789,3340.219,3170.807,3334.023,15459963100
2015-09-09,3344.824,3426.651,3330.29,3399.305,22046742100,258815794996.0,3344.824,3426.651,3330.29,3399.305,22046742100
2015-09-10,3349.281,3398.316,3337.311,3357.561,14488297100,168108269695.0,3349.281,3398.316,3337.311,3357.561,14488297100
2015-09-11,3349.877,3383.134,3315.478,3347.188,10854750800,130262410873.0,3349.877,3383.134,3315.478,3347.188,10854750800
2015-09-14,3367.642000000001,3373.921,3187.566,3281.132,20545725100,226168550065.0,3367.642000000001,3373.921,3187.566,3281.132,20545725100
2015-09-15,3208.744,3240.079,3131.98,3152.232,14355564100,145989213753.0,3208.744,3240.079,3131.98,3152.232,14355564100
2015-09-16,3149.158,3345.918,3131.37,3309.248,15970999400,168269840344.0,3149.158,3345.918,3131.37,3309.248,15970999400
2015-09-17,3287.657,3354.905,3236.999000000001,3236.999000000001,16940188100,190270181393.0,3287.657,3354.905,3236.999000000001,3236.999000000001,16940188100
2015-09-18,3254.443,3280.877,3227.834000000001,3251.273,10690348100,121752531747.0,3254.443,3280.877,3227.834000000001,3251.273,10690348100
2015-09-21,3222.603,3312.55,3211.934,3308.247000000001,12278866800,145323018237.0,3222.603,3312.55,3211.934,3308.247000000001,12278866800
2015-09-22,3312.366,3371.414,3303.184,3339.03,14622198500,172492862561.0,3312.366,3371.414,3303.184,3339.03,14622198500
2015-09-23,3290.071,3315.935,3253.333,3263.028,12317143900,136885975737.0,3290.071,3315.935,3253.333,3263.028,12317143900
2015-09-24,3278.896,3300.857,3255.902,3284.999000000001,10201123800,120820642496.0,3278.896,3300.857,3255.902,3284.999000000001,10201123800
2015-09-25,3272.665,3290.858,3201.914,3231.951,12141927800,137602168790.0,3272.665,3290.858,3201.914,3231.951,12141927800
2015-09-28,3226.607,3246.554,3186.507,3242.752,7421946800,88007466971.0,3226.607,3246.554,3186.507,3242.752,7421946800
2015-09-29,3197.2209999999995,3208.417,3159.042,3178.854000000001,8715063300,96691510035.0,3197.2209999999995,3208.417,3159.042,3178.854000000001,8715063300
