unit,ticker,barTime,closePrice,dataDate,highPrice,lowPrice,openPrice,shortNM,totalValue,totalVolume,vwap,tradeDate
30,399300,14:30,3417.006,2017-05-24,3417.082,3406.261,3406.502,沪深300,8127162364.4,704532700,3409.7574,20170524
30,399300,15:00,3424.166,2017-05-24,3424.166,3409.285,3416.601,沪深300,16472228982.8,1598557200,3416.3211,20170524
30,399300,10:00,3429.508,2017-05-25,3435.516,3413.224,3414.399,沪深300,16167529053.9,1463172600,3426.5858,20170525
30,399300,10:30,3437.601,2017-05-25,3444.936,3429.131,3429.703,沪深300,16065631896.8,1516881900,3437.914,20170525
30,399300,11:00,3434.25,2017-05-25,3440.243,3427.446,3437.436,沪深300,11173198196.0,1031940700,3433.4473,20170525
30,399300,11:30,3449.11,2017-05-25,3449.359,3433.768,3433.993,沪深300,11202232208.7,1119497900,3438.7612,20170525
30,399300,13:30,3466.184,2017-05-25,3472.316,3450.132,3450.132,沪深300,21450286453.0,2003533600,3461.6554,20170525
30,399300,14:00,3482.632,2017-05-25,3490.417,3465.004,3465.761,沪深300,23597663066.9,2284579600,3480.2064,20170525
30,399300,14:30,3486.645,2017-05-25,3489.313,3474.041,3481.796,沪深300,17300920394.9,1758203700,3482.1939,20170525
30,399300,15:00,3485.658,2017-05-25,3487.324,3479.566,3486.467,沪深300,19318366450.2,1859031000,3483.7895,20170525
30,399300,10:00,3489.178,2017-05-26,3498.314,3478.486,3479.62,沪深300,28296053646.6,2630003900,3490.1955,20170526
30,399300,10:30,3491.202,2017-05-26,3495.72,3482.948,3489.192,沪深300,17777065690.2,1689362300,3489.9746,20170526
30,399300,11:00,3482.712,2017-05-26,3491.185,3481.952,3491.185,沪深300,12379677648.0,1133158800,3485.8784,20170526
30,399300,11:30,3482.521,2017-05-26,3482.75,3473.04,3482.75,沪深300,10075673104.5,947354000,3479.0841,20170526
30,399300,13:30,3478.98,2017-05-26,3483.141,3474.105,3482.586,沪深300,7635628947.7,643955700,3478.1897,20170526
30,399300,14:00,3481.138,2017-05-26,3482.399,3475.246,3478.244,沪深300,9404521788.6,828739500,3478.2544,20170526
30,399300,14:30,3477.685,2017-05-26,3481.548,3473.414,3481.257,沪深300,8939087541.6,789147000,3477.1931,20170526
30,399300,15:00,3480.434,2017-05-26,3482.641,3473.542,3477.487,沪深300,17305580151.6,1584344800,3478.7849,20170526
30,399300,10:00,3510.843,2017-05-31,3515.081,3489.615,3495.073,沪深300,30641607741.9,2814997700,3503.0942,20170531
30,399300,10:30,3494.745,2017-05-31,3511.457,3494.585,3510.583,沪深300,17613585570.8,1726578000,3500.8391,20170531
30,399300,11:00,3490.308,2017-05-31,3494.587,3489.055,3494.462,沪深300,9382417437.4,849223200,3491.9543,20170531
30,399300,11:30,3476.071,2017-05-31,3490.08,3475.06,3489.976,沪深300,8959603744.9,764785800,3482.8057,20170531
30,399300,13:30,3479.626,2017-05-31,3482.719,3474.921,3476.006,沪深300,8725277812.6,720564500,3479.3453,20170531
30,399300,14:00,3486.86,2017-05-31,3486.968,3477.594,3480.086,沪深300,9523624628.9,847903400,3481.686,20170531
30,399300,14:30,3486.593,2017-05-31,3488.101,3481.035,3486.535,沪深300,10159613679.3,908086500,3485.0901,20170531
30,399300,15:00,3492.884,2017-05-31,3494.833,3485.109,3486.732,沪深300,19832288141.0,1743018800,3490.1927,20170531
30,399300,10:00,3483.777,2017-06-01,3493.847,3478.795,3485.222,沪深300,18510656127.0,1653606900,3488.4386,20170601
30,399300,10:30,3488.227,2017-06-01,3488.453,3476.428,3483.629,沪深300,13818575708.9,1235557700,3483.3936,20170601
30,399300,11:00,3488.303,2017-06-01,3491.702,3484.481,3488.59,沪深300,9578744629.5,828997900,3488.2174,20170601
30,399300,11:30,3488.364,2017-06-01,3491.787,3485.545,3488.15,沪深300,10225379550.7,857433700,3488.5054,20170601
30,399300,13:30,3490.856,2017-06-01,3491.494,3486.346,3488.86,沪深300,13283975850.8,1172696300,3488.9316,20170601
30,399300,14:00,3497.097,2017-06-01,3499.814,3490.54,3490.625,沪深300,11009775117.9,922080500,3495.0579,20170601
30,399300,14:30,3491.15,2017-06-01,3498.523,3490.436,3496.768,沪深300,13739718731.5,1214553600,3495.1157,20170601
30,399300,15:00,3497.738,2017-06-01,3499.053,3490.855,3491.277,沪深300,25398644139.5,2380941200,3496.0956,20170601
30,399300,10:00,3489.214,2017-06-02,3498.118,3483.026,3491.589,沪深300,19376781240.8,1750115100,3490.7593,20170602
30,399300,10:30,3484.292,2017-06-02,3489.44,3482.701,3489.44,沪深300,10839333420.8,959115900,3486.0121,20170602
30,399300,11:00,3478.327,2017-06-02,3484.58,3470.201,3484.423,沪深300,13148479657.2,1131231600,3475.816,20170602
30,399300,11:30,3480.36,2017-06-02,3480.445,3470.35,3478.139,沪深300,8323721782.1,707144400,3476.7023,20170602
30,399300,13:30,3479.421,2017-06-02,3480.836,3474.756,3480.39,沪深300,6214914172.5,546904400,3477.4614,20170602
30,399300,14:00,3483.979,2017-06-02,3485.708,3476.227,3479.351,沪深300,10601439581.2,999729700,3480.5336,20170602
30,399300,14:30,3490.514,2017-06-02,3492.393,3482.927,3484.089,沪深300,11243281364.7,999325800,3487.855,20170602
30,399300,15:00,3486.507,2017-06-02,3490.72,3484.94,3490.72,沪深300,12686479928.8,1133954300,3486.8557,20170602
30,399300,10:00,3467.934,2017-06-05,3484.124,3467.382,3480.169,沪深300,19803185222.3,1816071600,3476.7166,20170605
30,399300,10:30,3467.795,2017-06-05,3472.644,3463.691,3467.707,沪深300,13092303623.1,1127269300,3467.9232,20170605
